ID,LAT,LON,Location,state,tz
[FHU],31.6,110.35,Fort Huachuc,AZ,-7
[GBN],33.55,113.17,Gila Bend,AZ,-7
[GYR],33.42,112.38,Goodyear,AZ,-7
[GCN],35.95,112.15,Grand Canyon,AZ,-7
[IGM],35.27,113.95,Kingman,AZ,-7
[LUF],33.53,112.38,Luke,AZ,-7
[PGA],36.93,111.45,Page,AZ,-7
[0E4],34.23,111.33,Payson,AZ,-7
[PHX],33.43,112.02,Phoenix,AZ,-7
[PRC],34.65,112.43,Prescott,AZ,-7
[E74],32.82,109.68,Safford Awrs,AZ,-7
[SDL],33.62,111.92,Scottsdale,AZ,-7
[E03],34.27,110,Show Low,AZ,-7
[SOW],34.27,110,Show Low,AZ,-7
[TUS],32.12,110.93,Tucson,AZ,-7
[CHD],33.3,111.67,Williams AFB,AZ,-7
[INW],35.02,110.73,Winslow,AZ,-7
[YUM],33.1,115,Yuma,AZ,-7
[NYL],32.65,114.62,Yuma Mcas,AZ,-7
[1Y7],32.85,114.4,Yuma Prv Gd,AZ,-7
[BYH],35.97,89.95,Blytheville,AR,-6
[CDH],33.52,92.4,Camden,AR,-6
[ELD],33.22,92.8,El Dorado,AR,-6
[FYV],36,94.17,Fayetteville,AR,-6
[FSM],35.33,94.37,Ft Smith,AR,-6
[HRO],36.27,93.15,Harrison,AR,-6
[HOT],34.48,93.1,Hot Springs,AR,-6
[JBR],35.83,90.65,Jonesboro,AR,-6
[LIT],35.22,92.38,Little Rock,AR,-6
[LRF],34.92,92.15,Little Rock,AR,-6
[LZK],34.83,92.25,Little Rock,AR,-6
[PBF],34.17,91.93,Pine Bluff,AR,-6
[ASG],36.18,94.13,Springdale,AR,-6
[TXK],33.45,94,Texarkana,AR,-6
[ARG],36.13,90.93,Walnut Ridge,AR,-6
[NGZ],37.78,122.32,Alameda NAS,CA,-8
[S11],41.48,120.53,Alturas,CA,-8
[ACV],40.98,124.1,Arcata,CA,-8
[BFL],35.43,119.05,Bakersfield,CA,-8
[BAB],39.13,121.45,Beale AFB,CA,-8
[BUO],33.93,116.95,Beaumont,CA,-8
[BYS],35.28,116.62,Bicycle Lk,CA,-8
[L35],34.27,116.68,Big Bear Apt,CA,-8
[BIH],37.6,118.6,Bishop,CA,-8
[BLU],39.28,120.7,Blue Canyon,CA,-8
[BLH],33.62,114.72,Blythe,CA,-8
[BUR],34.2,118.37,Burbank,CA,-8
[NFG],33.3,117.35,Camp Pendlet,CA,-8
[CZZ],32.62,116.47,Campo,CA,-8
[CRQ],33.13,117.28,Carlsbad,CA,-8
[MER],37.38,120.57,Castle AFB,CA,-8
[CIC],39.78,121.85,Chico,CA,-8
[NID],35.68,117.68,China Lake,CA,-8
[CNO],33.97,117.63,Chino,CA,-8
[CCR],37.98,122.05,Concord,CA,-8
[CEC],41.78,124.23,Crescent Cty,CA,-8
[DAG],34.87,116.78,Daggett,CA,-8
[EDW],34.9,117.88,Edwards AFB,CA,-8
[NJK],32.82,115.68,El Centro,CA,-8
[EMT],34.08,118.03,El Monte,CA,-8
[NZJ],33.67,117.73,El Toro,CA,-8
[EKA],41.33,124.28,Eureka,CA,-8
[HGT],36,121.32,Fort Hunter,CA,-8
[OAR],36.68,121.77,Fort Ord,CA,-8
[FAT],36.77,119.72,Fresno,CA,-8
[FUL],33.87,117.97,Fullerton,CA,-8
[VCV],34.58,117.38,George AFB,CA,-8
[HHR],33.92,118.33,Hawthorne,CA,-8
[HWD],37.65,122.12,Hayward,CA,-8
[IPL],32.83,115.57,Imperial,CA,-8
[NRS],32.57,117.12,Imperial Bch,CA,-8
[POC],34.1,117.78,La Verne,CA,-8
[TVL],38.9,120,Lake Tahoe,CA,-8
[WJF],34.73,118.22,Lancaster,CA,-8
[NLC],36.33,119.95,Lemoore NAS,CA,-8
[LVK],37.7,121.82,Livermore,CA,-8
[LGB],33.82,118.15,Long Beach,CA,-8
[SLI],33.78,118.05,Los Alamitos,CA,-8
[LAX],33.93,118.4,Los Angeles,CA,-8
[MMH],37.63,118.92,Mammoth Lks,CA,-8
[RIV],33.88,117.27,March AFB,CA,-8
[MYV],39.1,121.57,Marysville,CA,-8
[MHR],38.57,121.3,Mather AFB,CA,-8
[MCC],38.67,121.4,Mcclellan,CA,-8
[MCE],37.28,120.52,Merced,CA,-8
[NKX],32.87,117.15,Miramar NAS,CA,-8
[MOD],37.63,120.95,Modesto,CA,-8
[NUQ],37.42,122.05,Moffet NAS,CA,-8
[MHV],35.05,118.15,Mojave,CA,-8
[1O5],41.73,122.53,Montague,CA,-8
[MRY],36.58,121.85,Monterey,CA,-8
[MHS],41.32,122.32,Mount Shasta,CA,-8
[MWS],34.23,118.07,Mount Wilson,CA,-8
[APC],38.22,122.28,Napa,CA,-8
[EED],34.77,114.62,Needles,CA,-8
[NZY],32.7,117.2,North Is,CA,-8
[SBD],34.1,117.23,Norton AFB,CA,-8
[OAK],37.73,122.22,Oakland,CA,-8
[ONT],34.05,117.62,Ontario Intl,CA,-8
[OXR],34.2,119.2,Oxnard,CA,-8
[PSP],33.83,116.5,Palm Springs,CA,-8
[PMD],35.05,118.13,Palmdale,CA,-8
[PAO],37.47,122.12,Palo Alto,CA,-8
[PRB],35.67,120.63,Paso Robles,CA,-8
[53Q],37.83,122.83,Pillaro Pt,CA,-8
[NTD],34.12,119.12,Point Mugu,CA,-8
[PAA],39.58,124.22,Pt Arena,CA,-8
[PGU],34.95,121.12,Pt Arguello,CA,-8
[87Q],35.67,121.28,Pt Piedras,CA,-8
[PPD],36.12,121.47,Pt Piedras,CA,-8
[RBL],40.15,122.25,Red Bluff,CA,-8
[RDD],40.5,122.3,Redding,CA,-8
[RAL],33.95,117.45,Riverside,CA,-8
[SAC],38.52,121.5,Sacramento,CA,-8
[SMF],38.7,121.6,Sacramento,CA,-8
[SNS],36.67,121.6,Salinas,CA,-8
[SQL],37.52,122.25,San Carlos,CA,-8
[L10],33.42,117.62,San Clemente,CA,-8
[NUC],33.02,118.58,San Clemente,CA,-8
[MYF],32.82,117.13,San Diego,CA,-8
[SAN],32.73,117.17,San Diego,CA,-8
[SDM],32.57,116.98,San Diego,CA,-8
[SDM],32.57,116.98,San Diego,CA,-8
[SEE],32.82,116.97,San Diego,CA,-8
[51Q],37.75,122.68,San Francisco,CA,-8
[SFO],37.62,122.38,San Francisco,CA,-8
[SJC],37.37,121.92,San Jose,CA,-8
[RHV],37.33,121.82,San Jose/Rei,CA,-8
[SBP],35.23,120.65,San Luis Obi,CA,-8
[L98],33.38,117.58,San Mateo,CA,-8
[N5G],34.03,120.4,San Miguel,CA,-8
[NSI],33.25,119.45,San Nic Isl,CA,-8
[SDB],34.75,118.73,Sandburg,CA,-8
[SNA],33.67,117.88,Santa Ana,CA,-8
[SBA],34.43,119.83,Santa Barb,CA,-8
[SMX],34.9,120.45,Santa Maria,CA,-8
[SMO],34.02,118.45,Santa Monica,CA,-8
[STS],38.52,122.82,Santa Rosa,CA,-8
[O87],40.03,124.07,Shelter Cove,CA,-8
[SIY],41.78,122.47,Siskiyou,CA,-8
[SCK],37.9,121.25,Stockton,CA,-8
[4SU],35.33,117.1,Superior Val,CA,-8
[SVE],40.63,120.95,Susanville,CA,-8
[TRM],33.63,116.17,Thermal,CA,-8
[TOA],33.8,118.33,Torrance,CA,-8
[SUU],38.27,121.93,Travis AFB,CA,-8
[TRK],39.32,120.13,Truckee-Tahoe,CA,-8
[NTK],33.7,117.83,Tustin Mcas,CA,-8
[NXP],34.28,116.15,Twenty9 Palm,CA,-8
[UKI],39.13,123.2,Ukiah,CA,-8
[VNY],34.22,118.48,Van Nuys,CA,-8
[VBG],35.2,120.95,Vandenberg,CA,-8
[VBG],35.2,120.95,Vandenberg,CA,-8
[VIS],36.32,119.4,Visalia,CA,-8
[AFF],39.52,105.35,Air Force A,CO,-7
[AKO],40.17,103.22,Akron,CO,-7
[ALS],37.45,105.87,Alamosa,CO,-7
[ASE],39.22,106.87,Aspen,CO,-7
[BJC],39.9,105.12,Brmfield/Jef,CO,-7
[BKF],39.72,104.75,Buckley,CO,-7
[COS],38.82,104.72,Colo Sprgs,CO,-7
[CEZ],37.3,108.63,Cortez,CO,-7
[CAG],40.5,107.53,Craig-Moffat,CO,-7
[DEN],39.75,104.87,Denver,CO,-7
[DRO],37.15,107.75,Durango,CO,-7
